"car_name","Price"
"Chevrolet Aveo 4dr",11690
"Chevrolet Aveo LS 4dr hatch",12585
"Chevrolet Cavalier 2dr",14610
"Chevrolet Cavalier 4dr",14810
"Chevrolet Cavalier LS 2dr",16385
"Dodge Neon SE 4dr",13670
"Dodge Neon SXT 4dr",15040
"Ford Focus ZX3 2dr hatch",13270
"Ford Focus LX 4dr",13730
"Ford Focus SE 4dr",15460
"Ford Focus ZX5 5dr",15580
"Honda Civic DX 2dr",13270
"Honda Civic HX 2dr",14170
"Honda Civic LX 4dr",15850
"Hyundai Accent 2dr hatch",10539
"Hyundai Accent GL 4dr",11839
"Hyundai Accent GT 2dr hatch",11939
"Hyundai Elantra GLS 4dr",13839
"Hyundai Elantra GT 4dr",15389
"Hyundai Elantra GT 4dr hatch",15389
"Kia Optima LX 4dr",16040
"Kia Rio 4dr manual",10280
"Kia Rio 4dr auto",11155
"Kia Spectra 4dr",12360
"Kia Spectra GS 4dr hatch",13580
"Kia Spectra GSX 4dr hatch",14630
"Mazda3 i 4dr",15500
"Mini Cooper",16999
"Mitsubishi Lancer ES 4dr",14622
"Mitsubishi Lancer LS 4dr",16722
"Nissan Sentra 1.8 4dr",12740
"Nissan Sentra 1.8 S 4dr",14740
"Pontiac Sunfire 1SA 2dr",15495
"Saturn Ion1 4dr",10995
"Saturn lon2 4dr",14300
"Saturn lon3 4dr",15825
"Saturn lon2 quad coupe 2dr",14850
"Saturn lon3 quad coupe 2dr",16350
"Scion xA 4dr hatch",12965
"Suzuki Aeno S 4dr",12884
"Suzuki Aerio LX 4dr",14500
"Suzuki Forenza S 4dr",12269
"Suzuki Forenza EX 4dr",15568
"Toyota Corolla CE 4dr",14085
"Toyota Corolla S 4dr",15030
"Toyota Corolla LE 4dr",15295
"Toyota Echo 2dr manual",10760
"Toyota Echo 2dr auto",11560
"Toyota Echo 4dr",11290
"Buick Century Custom 4dr",22180
"Chevrolet Impala 4dr",21900
"Chevrolet Malibu 4dr",18995
"Chevrolet Malibu LS 4dr",20370
"Chevrolet Monte Carlo LS 2dr",21825
"Chrysler PT Cruiser 4dr",17985
"Chrysler PT Cruiser Limited 4dr",22000
"Chrysler Sebring 4dr",19090
"Chrysler Sebring Touring 4dr",21840
"Dodge Intrepid SE 4dr",22035
"Dodge Stratus SXT 4dr",18820
"Dodge Stratus SE 4dr",20220
"Ford Focus SVT 2dr",19135
"Ford Taurus LX 4dr",20320
"Ford Taurus SES Duratec 4dr",22735
"Honda Accord LX 2dr",19860
"Honda Accord EX 2dr",22260
"Honda Civic EX 4dr",17750
"Honda Civic Si 2dr hatch",19490
"Honda Civic Hybrid 4dr manual (gas/electric)",20140
"Honda Insight 2dr (gas/electric)",19110
"Hyundai Sonata GLS 4dr",19339
"Hyundai Sonata LX 4dr",20339
"Kia Optima LX V6 4dr",18435
"Mazda3 s 4dr",17200
"Mazda6 i 4dr",19270
"Mercury Sable GS 4dr",21595
"Mini Cooper S",19999
"Mitsubishi Galant ES 2.4L 4dr",19312
"Mitsubishi Lancer OZ Rally 4dr auto",17232
"Nissan Altima S 4dr",19240
"Nissan Sentra SE-R 4dr",17640
"Oldsmobile Alero GX 2dr",18825
"Pontiac Grand Am GT 2dr",22450
"Pontiac Grand Prix GT1 4dr",22395
"Pontiac Sunfire 1SC 2dr",17735
"Saturn L300-2 4dr",21410
"Subaru Impreza 2.5 RS 4dr",19945
"Subaru Legacy L 4dr",20445
"Suzuki Verona LX 4dr",17262
"Toyota Camry LE 4dr",19560
"Toyota Camry LE V6 4dr",22775
